id,account,type,amount,transaction_date
T000,ACC1001,CREDIT,6000,2024-02-03
T001,ACC1002,DEBIT,5000,2024-02-04
T002,ACC1003,CREDIT,12000,2024-02-05
T003,ACC1004,DEBIT,7000,2024-02-06
T004,ACC1005,CREDIT,10000,2024-02-07
T005,ACC1006,DEBIT,11000,2024-02-08
T006,ACC1007,CREDIT,12000,2024-02-09
T007,ACC1008,DEBIT,13000,2024-02-10
T008,ACC1009,CREDIT,14000,2024-02-11
T009,ACC1010,DEBIT,15000,2024-02-12
T010,ACC1011,CREDIT,16000,2024-02-13
T011,ACC1012,DEBIT,17000,2024-02-14
T012,ACC1013,CREDIT,18000,2024-02-15
T013,ACC1014,DEBIT,19000,2024-02-16
T014,ACC1015,CREDIT,20000,2024-02-17
T015,ACC1016,DEBIT,21000,2024-02-18
T016,ACC1017,CREDIT,22000,2024-02-19
T017,ACC1018,DEBIT,23000,2024-02-20
T018,ACC1019,CREDIT,24000,2024-02-21
T019,ACC1020,DEBIT,25000,2024-02-22
T020,ACC1021,CREDIT,26000,2024-02-23
T021,ACC1022,DEBIT,27000,2024-02-24
T022,ACC1023,CREDIT,28000,2024-02-25
T023,ACC1024,DEBIT,29000,2024-02-26
T024,ACC1025,CREDIT,30000,2024-02-27
T025,ACC1026,DEBIT,31000,2024-02-28
T026,ACC1027,CREDIT,32000,2024-02-29
T027,ACC1028,DEBIT,33000,2024-03-01
T028,ACC1029,CREDIT,34000,2024-03-02
T029,ACC1030,DEBIT,35000,2024-03-03
T030,ACC1031,CREDIT,36000,2024-03-04
T031,ACC1032,DEBIT,37000,2024-03-05
T032,ACC1033,CREDIT,38000,2024-03-06
T033,ACC1034,DEBIT,39000,2024-03-07
T034,ACC1035,CREDIT,40000,2024-03-08
T035,ACC1036,DEBIT,41000,2024-03-09
T036,ACC1037,CREDIT,42000,2024-03-10
T037,ACC1038,DEBIT,43000,2024-03-11
T038,ACC1039,CREDIT,44000,2024-03-12
T039,ACC1040,DEBIT,45000,2024-03-13
T040,ACC1041,CREDIT,46000,2024-03-14
T041,ACC1042,DEBIT,47000,2024-03-15
T042,ACC1043,CREDIT,48000,2024-03-16
T043,ACC1044,DEBIT,49000,2024-03-17
T044,ACC1045,CREDIT,50000,2024-03-18
T045,ACC1046,DEBIT,51000,2024-03-19
T046,ACC1047,CREDIT,52000,2024-03-20
T047,ACC1048,DEBIT,53000,2024-03-21
T048,ACC1049,CREDIT,54000,2024-03-22
T049,ACC1050,DEBIT,55000,2024-03-23
T050,ACC1051,CREDIT,56000,2024-03-24
T051,ACC1052,DEBIT,57000,2024-03-25
T052,ACC1053,CREDIT,58000,2024-03-26
T053,ACC1054,DEBIT,59000,2024-03-27
T054,ACC1055,CREDIT,60000,2024-03-28
T055,ACC1056,DEBIT,61000,2024-03-29
T056,ACC1057,CREDIT,62000,2024-03-30
T057,ACC1058,DEBIT,63000,2024-03-31
T058,ACC1059,CREDIT,64000,2024-04-01
T059,ACC1060,DEBIT,65000,2024-04-02
T060,ACC1061,CREDIT,66000,2024-04-03
T061,ACC1062,DEBIT,67000,2024-04-04
T062,ACC1063,CREDIT,68000,2024-04-05
T063,ACC1064,DEBIT,69000,2024-04-06
T064,ACC1065,CREDIT,70000,2024-04-07
T065,ACC1066,DEBIT,71000,2024-04-08
T066,ACC1067,CREDIT,72000,2024-04-09
T067,ACC1068,DEBIT,73000,2024-04-10
T068,ACC1069,CREDIT,74000,2024-04-11
T069,ACC1070,DEBIT,75000,2024-04-12
T070,ACC1071,CREDIT,76000,2024-04-13
T071,ACC1072,DEBIT,77000,2024-04-14
T072,ACC1073,CREDIT,78000,2024-04-15
T073,ACC1074,DEBIT,79000,2024-04-16
T074,ACC1075,CREDIT,80000,2024-04-17
T075,ACC1076,DEBIT,81000,2024-04-18
T076,ACC1077,CREDIT,82000,2024-04-19
T077,ACC1078,DEBIT,83000,2024-04-20
T078,ACC1079,CREDIT,84000,2024-04-21
T079,ACC1080,DEBIT,85000,2024-04-22
T080,ACC1081,CREDIT,86000,2024-04-23
T081,ACC1082,DEBIT,87000,2024-04-24
T082,ACC1083,CREDIT,88000,2024-04-25
T083,ACC1084,DEBIT,89000,2024-04-26
T084,ACC1085,CREDIT,90000,2024-04-27
T085,ACC1086,DEBIT,91000,2024-04-28
T086,ACC1087,CREDIT,92000,2024-04-29
T087,ACC1088,DEBIT,93000,2024-04-30
T088,ACC1089,CREDIT,94000,2024-05-01
T089,ACC1090,DEBIT,95000,2024-05-02
T090,ACC1091,CREDIT,96000,2024-05-03
T091,ACC1092,DEBIT,97000,2024-05-04
T092,ACC1093,CREDIT,98000,2024-05-05
T093,ACC1094,DEBIT,99000,2024-05-06
T094,ACC1095,CREDIT,100000,2024-05-07
T095,ACC1096,DEBIT,101000,2024-05-08
T096,ACC1097,CREDIT,102000,2024-05-09
T097,ACC1098,DEBIT,103000,2024-05-10
T098,ACC1099,CREDIT,104000,2024-05-11
